
2023/08/03 (23:20:44) | ===> btop++ v.1.2.13
2023/08/03 (23:20:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/03 (23:27:20) | ===> btop++ v.1.2.13
2023/08/03 (23:27:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/07 (00:35:02) | ===> btop++ v.1.2.13
2023/08/07 (00:35:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/15 (14:48:26) | ===> btop++ v.1.2.13
2023/08/15 (14:48:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/17 (15:09:12) | ===> btop++ v.1.2.13
2023/08/17 (15:09:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/17 (15:21:52) | ===> btop++ v.1.2.13
2023/08/17 (15:21:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/17 (16:55:19) | ===> btop++ v.1.2.13
2023/08/17 (16:55:19) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/17 (17:08:23) | ===> btop++ v.1.2.13
2023/08/17 (17:08:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/17 (17:09:12) | ===> btop++ v.1.2.13
2023/08/17 (17:09:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/17 (23:35:38) | ===> btop++ v.1.2.13
2023/08/17 (23:35:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/20 (11:37:53) | ===> btop++ v.1.2.13
2023/08/20 (11:37:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/20 (11:38:21) | ===> btop++ v.1.2.13
2023/08/20 (11:38:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/21 (00:33:36) | ===> btop++ v.1.2.13
2023/08/21 (00:33:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/21 (02:38:31) | ===> btop++ v.1.2.13
2023/08/21 (02:38:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/22 (12:56:36) | ===> btop++ v.1.2.13
2023/08/22 (12:56:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/22 (16:35:31) | ===> btop++ v.1.2.13
2023/08/22 (16:35:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/22 (17:46:37) | ===> btop++ v.1.2.13
2023/08/22 (17:46:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/25 (14:54:51) | ===> btop++ v.1.2.13
2023/08/25 (14:54:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/27 (14:46:40) | ===> btop++ v.1.2.13
2023/08/27 (14:46:40) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/30 (10:42:59) | ===> btop++ v.1.2.13
2023/08/30 (10:42:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/30 (10:43:58) | ===> btop++ v.1.2.13
2023/08/30 (10:43:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/30 (11:59:42) | ===> btop++ v.1.2.13
2023/08/30 (11:59:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
